Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large,baseline_mape,mape_impr_pct,mape_impr_abs,grp_order
LightGBM,Sig_Macro,20,20,1.4103,100.6697,143.7357,0.7503,49.13,2.7211,53.68,1.3996,-0.765,-0.0107,1
LightGBM,Sig_Commodity,20,20,1.3482,96.3869,141.3203,0.7586,49.71,2.6053,55.15,1.3996,3.672,0.0514,2
LightGBM,Sig_All,20,20,1.3574,96.9812,141.9137,0.7566,49.13,2.6214,52.94,1.3996,3.015,0.0422,4
LightGBM,All_Macro,20,20,1.4317,102.2164,148.0308,0.7352,48.36,2.7629,52.21,1.3996,-2.294,-0.0321,5
LightGBM,All_Commodity_Regional,20,20,1.3649,97.6015,141.587,0.7577,49.52,2.6382,56.62,1.3996,2.479,0.0347,6
LightGBM,All_Covariates,20,20,1.4082,100.6595,146.4928,0.7407,48.17,2.7208,54.41,1.3996,-0.614,-0.0086,7
LightGBM,Baseline,120,20,1.3849,98.751,138.0916,0.7696,47.21,2.6692,52.94,1.3849,0.0,0.0,0
LightGBM,Sig_Macro,120,20,1.4051,100.1719,138.2501,0.769,47.59,2.7076,50.0,1.3849,-1.459,-0.0202,1
LightGBM,Sig_Commodity,120,20,1.3708,97.8496,138.1134,0.7695,49.52,2.6449,52.94,1.3849,1.018,0.0141,2
LightGBM,Sig_All,120,20,1.3467,96.1769,134.0382,0.7829,49.13,2.5997,54.41,1.3849,2.758,0.0382,4
LightGBM,All_Macro,120,20,1.4236,101.4909,144.4509,0.7478,48.17,2.7433,53.68,1.3849,-2.794,-0.0387,5
LightGBM,All_Commodity_Regional,120,20,1.3323,95.1389,133.1232,0.7858,48.17,2.5716,55.15,1.3849,3.798,0.0526,6
LightGBM,All_Covariates,120,20,1.3567,96.7671,135.5216,0.778,47.98,2.6156,53.68,1.3849,2.036,0.0282,7
RandomForest,Baseline,20,20,1.392,99.4072,143.0187,0.7528,49.9,2.687,54.41,1.392,0.0,0.0,0
RandomForest,Sig_Macro,20,20,1.3891,99.1805,142.3324,0.7552,50.1,2.6808,54.41,1.392,0.208,0.0029,1
RandomForest,Sig_Commodity,20,20,1.3992,99.8976,143.4713,0.7512,49.33,2.7002,54.41,1.392,-0.517,-0.0072,2
RandomForest,Sig_All,20,20,1.4057,100.3843,144.5015,0.7477,49.9,2.7134,54.41,1.392,-0.984,-0.0137,4
RandomForest,All_Macro,20,20,1.4962,106.6616,154.8705,0.7101,49.33,2.8831,52.21,1.392,-7.486,-0.1042,5
RandomForest,All_Commodity_Regional,20,20,1.4051,100.3397,144.3843,0.7481,49.13,2.7122,54.41,1.392,-0.941,-0.0131,6
RandomForest,All_Covariates,20,20,1.475,105.2288,152.7445,0.7181,49.71,2.8443,52.21,1.392,-5.963,-0.083,7
RandomForest,Baseline,120,20,1.3892,99.1823,142.7713,0.7537,49.33,2.6809,52.94,1.3892,0.0,0.0,0
RandomForest,Sig_Macro,120,20,1.3818,98.6576,141.1244,0.7593,50.1,2.6667,52.94,1.3892,0.533,0.0074,1
RandomForest,Sig_Commodity,120,20,1.3962,99.6543,142.9825,0.7529,49.13,2.6936,52.94,1.3892,-0.504,-0.007,2
