Model,Covariates,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,RMSE_std,R2_mean,DA_mean,DA_std
ExtraTrees,GDP,120,1,0.6587,0.1633,40.2862,55.0826,9.3521,0.9691,52.52,1.83
ExtraTrees,GDP,120,5,1.0857,0.3424,65.3296,94.996,22.6252,0.9164,50.39,3.06
ExtraTrees,GDP,120,20,2.1011,0.5973,126.0416,191.6023,48.5589,0.6688,49.97,2.07
ExtraTrees,US_Treasury_10Y,20,1,0.661,0.1634,40.4217,55.2519,9.3837,0.9688,49.67,1.49
ExtraTrees,US_Treasury_10Y,20,5,1.0892,0.3353,65.6053,95.3955,22.1719,0.9148,50.69,2.32
ExtraTrees,US_Treasury_10Y,20,20,2.1139,0.5887,127.0085,192.5308,47.2212,0.6547,49.39,2.15
ExtraTrees,US_Treasury_10Y,120,1,0.6597,0.1635,40.3459,55.0684,9.3276,0.9691,51.65,1.66
ExtraTrees,US_Treasury_10Y,120,5,1.0872,0.3364,65.4654,95.012,22.0396,0.9156,50.13,2.15
ExtraTrees,US_Treasury_10Y,120,20,2.1053,0.6008,126.2972,191.5806,48.6827,0.6679,49.97,1.72
ExtraTrees,Coal,20,1,0.66,0.1638,40.358,55.1987,9.4336,0.969,52.42,0.92
ExtraTrees,Coal,20,5,1.0896,0.3438,65.5511,95.3568,22.9092,0.9163,50.28,1.96
ExtraTrees,Coal,20,20,2.1029,0.5983,126.315,191.6487,48.3534,0.6696,49.71,1.89
ExtraTrees,Coal,120,1,0.6603,0.164,40.3866,55.1901,9.4041,0.969,50.43,1.97
ExtraTrees,Coal,120,5,1.0862,0.3411,65.3778,95.0641,22.618,0.9164,50.8,2.9
ExtraTrees,Coal,120,20,2.1068,0.6016,126.4165,191.7464,48.5885,0.6688,50.34,1.65
ExtraTrees,Copper,20,1,0.6577,0.1623,40.2312,55.0499,9.3623,0.9692,53.08,1.16
ExtraTrees,Copper,20,5,1.0858,0.3409,65.3357,95.1052,22.774,0.9165,51.05,2.1
ExtraTrees,Copper,20,20,2.1005,0.5996,126.1317,191.2038,48.4383,0.6711,49.5,2.27
ExtraTrees,Copper,120,1,0.659,0.1633,40.3079,55.0752,9.3508,0.9691,52.57,1.6
ExtraTrees,Copper,120,5,1.0861,0.3426,65.3565,95.0348,22.6438,0.9165,50.59,2.7
ExtraTrees,Copper,120,20,2.1008,0.5979,126.0399,191.5037,48.6664,0.6703,50.13,2.0
ExtraTrees,Nickel,20,1,0.66,0.1637,40.3647,55.1553,9.4212,0.9691,51.65,1.19
ExtraTrees,Nickel,20,5,1.088,0.3421,65.4732,95.2423,22.8838,0.9165,50.85,1.55
ExtraTrees,Nickel,20,20,2.0993,0.5939,126.1124,191.3413,48.2574,0.6702,49.45,1.86
ExtraTrees,Nickel,120,1,0.6599,0.1644,40.3606,55.1166,9.3826,0.9691,51.3,2.86
ExtraTrees,Nickel,120,5,1.0842,0.3397,65.2573,94.8917,22.6074,0.9166,50.85,2.31
ExtraTrees,Nickel,120,20,2.1055,0.5922,126.366,191.5986,48.3163,0.6672,49.97,1.62
ExtraTrees,Silver,20,1,0.6579,0.1634,40.2359,55.0106,9.3591,0.9692,54.66,2.4
ExtraTrees,Silver,20,5,1.0848,0.3402,65.2874,94.9616,22.6519,0.9167,51.05,2.02
ExtraTrees,Silver,20,20,2.098,0.5964,126.0075,191.1376,48.2869,0.6708,49.87,1.87
ExtraTrees,Silver,120,1,0.6586,0.1634,40.2849,55.0116,9.2925,0.9691,53.23,1.9
ExtraTrees,Silver,120,5,1.0863,0.3418,65.3793,94.999,22.5779,0.9164,50.39,2.98
ExtraTrees,Silver,120,20,2.1043,0.6046,126.2884,191.7175,48.7478,0.6686,50.5,1.65
