Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large
LightGBM,Screening1,120,5,0.8972,63.5758,84.9072,0.9121,46.37,1.7185,50.36
LightGBM,Screening1,120,20,1.6264,115.582,152.5894,0.7186,48.55,3.1242,56.62
LightGBM,Screening2,20,1,0.5321,37.7834,50.1302,0.9692,55.51,1.0213,56.2
LightGBM,Screening2,20,5,0.8905,63.289,83.6235,0.9147,50.76,1.7107,59.12
LightGBM,Screening2,20,20,1.6812,120.1898,168.9562,0.655,48.36,3.2487,53.68
LightGBM,Screening2,120,1,0.5467,38.7543,50.9611,0.9682,51.52,1.0475,53.28
LightGBM,Screening2,120,5,0.9407,66.6811,87.6729,0.9063,46.95,1.8024,50.36
LightGBM,Screening2,120,20,1.7384,123.3936,160.6262,0.6882,44.12,3.3353,50.0
LightGBM,All_Commodity_STI,20,1,0.5436,38.6181,51.4802,0.9676,52.66,1.0438,54.01
LightGBM,All_Commodity_STI,20,5,0.9408,66.8571,88.8648,0.9037,48.66,1.8071,49.64
LightGBM,All_Commodity_STI,20,20,1.7745,126.7782,176.9629,0.6216,45.66,3.4268,52.21
LightGBM,All_Commodity_STI,120,1,0.536,38.065,50.7487,0.9685,55.32,1.0289,55.47
LightGBM,All_Commodity_STI,120,5,0.8829,62.7584,83.3627,0.9153,50.19,1.6964,55.47
LightGBM,All_Commodity_STI,120,20,1.5353,109.2173,144.8761,0.7464,46.24,2.9521,53.68
LightGBM,All_Macro_no_UST,20,1,0.5449,38.6433,52.1107,0.9668,55.89,1.0445,56.93
LightGBM,All_Macro_no_UST,20,5,0.9334,66.0969,87.934,0.9057,48.66,1.7866,53.28
LightGBM,All_Macro_no_UST,20,20,1.7316,123.6836,175.2535,0.6288,48.17,3.3432,51.47
LightGBM,All_Macro_no_UST,120,1,0.5476,38.8961,51.6553,0.9673,51.52,1.0514,52.55
LightGBM,All_Macro_no_UST,120,5,0.9358,66.4345,87.7228,0.9062,48.47,1.7957,52.55
LightGBM,All_Macro_no_UST,120,20,1.5162,107.6888,147.3872,0.7375,48.75,2.9108,49.26
LightGBM,All_Covariates,20,1,0.548,38.9251,51.7093,0.9673,52.85,1.0521,52.55
LightGBM,All_Covariates,20,5,0.9124,64.8135,84.2532,0.9134,48.85,1.7519,52.55
LightGBM,All_Covariates,20,20,1.833,130.8285,183.6693,0.5923,45.47,3.5363,53.68
LightGBM,All_Covariates,120,1,0.5345,37.9257,50.4851,0.9688,54.37,1.0251,55.47
LightGBM,All_Covariates,120,5,0.9038,63.9644,83.7193,0.9145,50.0,1.729,57.66
LightGBM,All_Covariates,120,20,1.7946,127.8345,169.3699,0.6533,45.09,3.4554,52.94
