Model,Covariates,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,RMSE_std,R2_mean,DA_mean,DA_std
LightGBM,Tin,120,1,0.7143,0.1579,43.86,59.165,7.8184,0.9613,50.84,0.96
LightGBM,Tin,120,30,3.1012,0.8038,187.9914,263.7647,60.1409,0.01,48.53,2.29
LightGBM,Gold,30,1,0.7104,0.1751,43.4831,58.476,8.8226,0.9637,51.96,0.86
LightGBM,Gold,30,30,3.1185,0.9078,189.4461,269.0315,53.5828,0.0953,49.0,2.41
LightGBM,Gold,120,1,0.7096,0.1632,43.5379,58.3081,8.5604,0.9632,50.13,2.1
LightGBM,Gold,120,30,2.8615,0.7314,174.2555,246.7269,47.9943,0.3267,49.1,0.95
LightGBM,WTI,30,1,0.7161,0.172,43.841,59.5006,8.5741,0.9624,52.06,1.68
LightGBM,WTI,30,30,3.0704,1.0328,185.2603,259.2038,63.806,0.303,48.38,0.55
LightGBM,WTI,120,1,0.7094,0.1625,43.5367,58.1311,8.1835,0.9637,49.21,2.69
LightGBM,WTI,120,30,2.9263,0.8828,175.6298,245.114,54.9913,0.3298,49.15,1.39
LightGBM,STI,30,1,0.7104,0.1682,43.5026,58.569,8.7874,0.964,52.37,0.98
LightGBM,STI,30,30,3.0175,1.0516,181.5393,253.3662,65.7365,0.4033,49.82,1.82
LightGBM,STI,120,1,0.696,0.1667,42.6367,57.925,8.8932,0.9653,52.93,2.13
LightGBM,STI,120,30,3.0117,0.7524,182.4791,252.5278,48.328,0.3382,48.69,1.52
