Model,Covariates,Window,Horizon,mape_mean,mape_std,da_mean,mase_mean,n_folds
LightGBM,CPI,20,1,0.68476,0.16007094677048678,50.412,1.19734,5
LightGBM,CPI,20,5,1.15236,0.2806522545785087,50.989999999999995,2.0212399999999997,5
LightGBM,CPI,20,20,2.27886,0.6040527361083632,50.184000000000005,3.97056,5
LightGBM,CPI,120,1,0.68932,0.16583876808514952,50.512,1.20518,5
LightGBM,CPI,120,5,1.1437,0.29558977485697974,51.042,2.00604,5
LightGBM,CPI,120,20,2.1755199999999997,0.5705485053875788,49.92,3.8096000000000005,5
LightGBM,Coal,20,1,0.7034800000000001,0.1467943357217846,48.660000000000004,1.2333200000000002,5
LightGBM,Coal,20,5,1.1663000000000001,0.29252216155361627,49.22,2.05374,5
LightGBM,Coal,20,20,2.3366800000000003,0.6791890362778245,50.134,4.0896,5
LightGBM,Coal,120,1,0.70238,0.15200030263127767,48.454,1.23014,5
LightGBM,Coal,120,5,1.19316,0.2534563236536031,50.312,2.0957999999999997,5
LightGBM,Coal,120,20,2.35538,0.5277816470852315,48.81,4.134040000000001,5
LightGBM,Copper,20,1,0.68086,0.15736455445874717,52.577999999999996,1.19038,5
LightGBM,Copper,20,5,1.14384,0.23863232806977336,52.396,2.0115600000000002,5
LightGBM,Copper,20,20,2.1301200000000002,0.5330649088056727,51.186,3.7220999999999997,5
LightGBM,Copper,120,1,0.6904399999999999,0.16162686348500363,51.39,1.20796,5
LightGBM,Copper,120,5,1.14566,0.27201749576084266,51.092,2.0090399999999997,5
LightGBM,Copper,120,20,2.32866,0.5564410732503489,49.71,4.07902,5
LightGBM,GDP,20,1,0.69316,0.16778862595539668,52.062,1.2099600000000001,5
LightGBM,GDP,20,5,1.15002,0.2714683720067588,51.096000000000004,2.01826,5
LightGBM,GDP,20,20,2.2794,0.6430935002003985,51.188,3.96528,5
LightGBM,GDP,120,1,0.6907,0.16480891966152802,50.772000000000006,1.2078,5
LightGBM,GDP,120,5,1.1374600000000001,0.31548350670042963,50.156,1.99012,5
LightGBM,GDP,120,20,2.2134799999999997,0.4991462881761216,50.712,3.8853999999999997,5
LightGBM,Gold,20,1,0.69468,0.16690214797898803,49.739999999999995,1.21512,5
LightGBM,Gold,20,5,1.16004,0.3001904612075474,49.998000000000005,2.0303,5
LightGBM,Gold,20,20,2.23346,0.568139180131066,50.608,3.91322,5
LightGBM,Gold,120,1,0.68346,0.15959021899853387,50.982,1.19546,5
LightGBM,Gold,120,5,1.16358,0.30262114433727194,50.989999999999995,2.0332,5
LightGBM,Gold,120,20,2.25296,0.5493561804512624,48.814,3.95734,5
LightGBM,M2,20,1,0.69282,0.16821947568578383,50.98,1.2102,5
LightGBM,M2,20,5,1.16006,0.29849615240401334,50.572,2.0344,5
