Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,Improvement_pct,Passed
XGBoost,20,5,GDP,1.162,1.1688,0.582,True
XGBoost,20,5,US_Treasury_10Y,1.1851,1.1688,-1.395,False
XGBoost,20,5,Coal,1.1649,1.1688,0.334,True
XGBoost,20,5,Copper,1.1443,1.1688,2.096,True
XGBoost,20,5,Nickel,1.1936,1.1688,-2.122,False
XGBoost,20,5,Silver,1.1743,1.1688,-0.471,False
XGBoost,20,5,Tin,1.1684,1.1688,0.034,False
XGBoost,20,5,Gold,1.1084,1.1688,5.168,True
XGBoost,20,5,WTI,1.172,1.1688,-0.274,False
XGBoost,20,5,STI,1.1382,1.1688,2.618,True
XGBoost,20,20,BI_Rate,2.2897,2.3139,1.046,True
XGBoost,20,20,CPI,2.3713,2.3139,-2.481,False
XGBoost,20,20,M2,2.3823,2.3139,-2.956,False
XGBoost,20,20,NPL_Ratio,2.3643,2.3139,-2.178,False
XGBoost,20,20,USDIDR,2.3735,2.3139,-2.576,False
XGBoost,20,20,GDP,2.3387,2.3139,-1.072,False
XGBoost,20,20,US_Treasury_10Y,2.5433,2.3139,-9.914,False
XGBoost,20,20,Coal,2.4786,2.3139,-7.118,False
XGBoost,20,20,Copper,2.295,2.3139,0.817,True
XGBoost,20,20,Nickel,2.3081,2.3139,0.251,False
XGBoost,20,20,Silver,2.4451,2.3139,-5.67,False
XGBoost,20,20,Tin,2.4242,2.3139,-4.767,False
XGBoost,20,20,Gold,2.3877,2.3139,-3.189,False
XGBoost,20,20,WTI,2.2965,2.3139,0.752,True
XGBoost,20,20,STI,2.2295,2.3139,3.648,True
XGBoost,120,1,BI_Rate,0.703,0.709,0.846,True
XGBoost,120,1,CPI,0.7059,0.709,0.437,True
XGBoost,120,1,M2,0.6998,0.709,1.298,True
XGBoost,120,1,NPL_Ratio,0.7016,0.709,1.044,True
XGBoost,120,1,USDIDR,0.6957,0.709,1.876,True
XGBoost,120,1,GDP,0.7072,0.709,0.254,False
XGBoost,120,1,US_Treasury_10Y,0.7291,0.709,-2.835,False
XGBoost,120,1,Coal,0.7201,0.709,-1.566,False
XGBoost,120,1,Copper,0.7014,0.709,1.072,True
XGBoost,120,1,Nickel,0.7007,0.709,1.171,True
XGBoost,120,1,Silver,0.7063,0.709,0.381,True
XGBoost,120,1,Tin,0.7148,0.709,-0.818,False
XGBoost,120,1,Gold,0.6989,0.709,1.425,True
XGBoost,120,1,WTI,0.7041,0.709,0.691,True
XGBoost,120,1,STI,0.6976,0.709,1.608,True
XGBoost,120,5,BI_Rate,1.1727,1.1749,0.187,False
XGBoost,120,5,CPI,1.1833,1.1749,-0.715,False
XGBoost,120,5,M2,1.1673,1.1749,0.647,True
XGBoost,120,5,NPL_Ratio,1.1777,1.1749,-0.238,False
XGBoost,120,5,USDIDR,1.177,1.1749,-0.179,False
XGBoost,120,5,GDP,1.1809,1.1749,-0.511,False
XGBoost,120,5,US_Treasury_10Y,1.2235,1.1749,-4.137,False
XGBoost,120,5,Coal,1.2058,1.1749,-2.63,False
XGBoost,120,5,Copper,1.1975,1.1749,-1.924,False
XGBoost,120,5,Nickel,1.181,1.1749,-0.519,False
XGBoost,120,5,Silver,1.1571,1.1749,1.515,True
XGBoost,120,5,Tin,1.1686,1.1749,0.536,True
XGBoost,120,5,Gold,1.1459,1.1749,2.468,True
XGBoost,120,5,WTI,1.1875,1.1749,-1.072,False
XGBoost,120,5,STI,1.1442,1.1749,2.613,True
XGBoost,120,20,BI_Rate,2.3726,2.373,0.017,False
XGBoost,120,20,CPI,2.3834,2.373,-0.438,False
XGBoost,120,20,M2,2.2776,2.373,4.02,True
XGBoost,120,20,NPL_Ratio,2.3158,2.373,2.41,True
XGBoost,120,20,USDIDR,2.3405,2.373,1.37,True
XGBoost,120,20,GDP,2.3729,2.373,0.004,False
XGBoost,120,20,US_Treasury_10Y,2.6745,2.373,-12.705,False
XGBoost,120,20,Coal,2.5053,2.373,-5.575,False
XGBoost,120,20,Copper,2.4072,2.373,-1.441,False
XGBoost,120,20,Nickel,2.4111,2.373,-1.606,False
XGBoost,120,20,Silver,2.3626,2.373,0.438,True
XGBoost,120,20,Tin,2.4972,2.373,-5.234,False
XGBoost,120,20,Gold,2.3421,2.373,1.302,True
XGBoost,120,20,WTI,2.3514,2.373,0.91,True
XGBoost,120,20,STI,2.4168,2.373,-1.846,False
LightGBM,20,1,BI_Rate,0.7088,0.7057,-0.439,False
LightGBM,20,1,CPI,0.7065,0.7057,-0.113,False
LightGBM,20,1,M2,0.7108,0.7057,-0.723,False
