Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,MAPE_Impr_pct,DA,Baseline_DA,DA_Impr_pp,Consistency,Passed_MAPE,Passed_DA,Passed_Any,Passed_Both
RandomForest,20,5,Tin,1.0962,1.0884,-0.717,50.69,50.75,-0.06,-0.023,False,False,False,False
RandomForest,20,5,Gold,1.088,1.0884,0.037,50.69,50.75,-0.06,0.001,False,False,False,False
RandomForest,20,5,WTI,1.0913,1.0884,-0.266,50.75,50.75,0.0,-0.008,False,False,False,False
RandomForest,20,5,STI,1.0832,1.0884,0.478,50.85,50.75,0.1,0.015,True,False,True,False
RandomForest,20,20,BI_Rate,2.0962,2.0972,0.048,50.03,49.71,0.32,0.002,False,False,False,False
RandomForest,20,20,CPI,2.0999,2.0972,-0.129,49.97,49.71,0.26,-0.005,False,False,False,False
RandomForest,20,20,M2,2.0953,2.0972,0.091,49.92,49.71,0.21,0.003,False,False,False,False
RandomForest,20,20,NPL_Ratio,2.1013,2.0972,-0.195,49.87,49.71,0.16,-0.007,False,False,False,False
RandomForest,20,20,USDIDR,2.0965,2.0972,0.033,49.97,49.71,0.26,0.001,False,False,False,False
RandomForest,20,20,GDP,2.1015,2.0972,-0.205,50.08,49.71,0.37,-0.007,False,False,False,False
RandomForest,20,20,US_Treasury_10Y,2.1583,2.0972,-2.913,49.5,49.71,-0.21,-0.113,False,False,False,False
RandomForest,20,20,Coal,2.1016,2.0972,-0.21,49.66,49.71,-0.05,-0.007,False,False,False,False
RandomForest,20,20,Copper,2.1026,2.0972,-0.257,49.66,49.71,-0.05,-0.009,False,False,False,False
RandomForest,20,20,Nickel,2.0983,2.0972,-0.052,50.13,49.71,0.42,-0.002,False,False,False,False
RandomForest,20,20,Silver,2.0876,2.0972,0.458,49.92,49.71,0.21,0.016,True,False,True,False
RandomForest,20,20,Tin,2.1086,2.0972,-0.544,49.55,49.71,-0.16,-0.02,False,False,False,False
RandomForest,20,20,Gold,2.0968,2.0972,0.019,49.66,49.71,-0.05,0.001,False,False,False,False
RandomForest,20,20,WTI,2.0907,2.0972,0.31,49.92,49.71,0.21,0.011,True,False,True,False
RandomForest,20,20,STI,2.0922,2.0972,0.238,50.03,49.71,0.32,0.008,False,False,False,False
RandomForest,120,1,BI_Rate,0.6627,0.6626,-0.015,50.23,52.37,-2.14,-0.001,False,False,False,False
RandomForest,120,1,CPI,0.6614,0.6626,0.181,52.06,52.37,-0.31,0.007,False,False,False,False
RandomForest,120,1,M2,0.6612,0.6626,0.211,51.81,52.37,-0.56,0.008,False,False,False,False
RandomForest,120,1,NPL_Ratio,0.6612,0.6626,0.211,52.26,52.37,-0.11,0.008,False,False,False,False
RandomForest,120,1,USDIDR,0.6626,0.6626,0.0,51.15,52.37,-1.22,0.0,False,False,False,False
RandomForest,120,1,GDP,0.6619,0.6626,0.106,51.7,52.37,-0.67,0.004,False,False,False,False
RandomForest,120,1,US_Treasury_10Y,0.6618,0.6626,0.121,50.64,52.37,-1.73,0.005,False,False,False,False
RandomForest,120,1,Coal,0.6633,0.6626,-0.106,50.43,52.37,-1.94,-0.004,False,False,False,False
RandomForest,120,1,Copper,0.6627,0.6626,-0.015,50.99,52.37,-1.38,-0.001,False,False,False,False
RandomForest,120,1,Nickel,0.6639,0.6626,-0.196,49.21,52.37,-3.16,-0.008,False,False,False,False
RandomForest,120,1,Silver,0.6623,0.6626,0.045,51.65,52.37,-0.72,0.002,False,False,False,False
RandomForest,120,1,Tin,0.6623,0.6626,0.045,50.48,52.37,-1.89,0.002,False,False,False,False
RandomForest,120,1,Gold,0.6617,0.6626,0.136,51.15,52.37,-1.22,0.005,False,False,False,False
RandomForest,120,1,WTI,0.6619,0.6626,0.106,51.15,52.37,-1.22,0.004,False,False,False,False
RandomForest,120,1,STI,0.6627,0.6626,-0.015,52.21,52.37,-0.16,-0.001,False,False,False,False
RandomForest,120,5,BI_Rate,1.088,1.0882,0.018,50.69,50.59,0.1,0.001,False,False,False,False
RandomForest,120,5,CPI,1.0869,1.0882,0.119,50.69,50.59,0.1,0.004,False,False,False,False
RandomForest,120,5,M2,1.0864,1.0882,0.165,50.95,50.59,0.36,0.005,False,False,False,False
RandomForest,120,5,NPL_Ratio,1.0851,1.0882,0.285,50.49,50.59,-0.1,0.009,False,False,False,False
RandomForest,120,5,USDIDR,1.0899,1.0882,-0.156,50.13,50.59,-0.46,-0.005,False,False,False,False
