TradingDay,ActualDate
1050,2019-07-04
1051,2019-07-05
1052,2019-07-08
1053,2019-07-09
1054,2019-07-10
1055,2019-07-11
1056,2019-07-12
1057,2019-07-15
1058,2019-07-16
1059,2019-07-17
1060,2019-07-18
1061,2019-07-19
1062,2019-07-22
1063,2019-07-23
1064,2019-07-24
1065,2019-07-25
1066,2019-07-26
1067,2019-07-29
1068,2019-07-30
1069,2019-07-31
1070,2019-08-01
1071,2019-08-02
1072,2019-08-05
1073,2019-08-06
1074,2019-08-07
1075,2019-08-08
1076,2019-08-13
1077,2019-08-14
1078,2019-08-15
1079,2019-08-16
1080,2019-08-19
1081,2019-08-20
1082,2019-08-21
1083,2019-08-22
1084,2019-08-23
1085,2019-08-27
1086,2019-08-28
1087,2019-08-29
1088,2019-08-30
1089,2019-09-02
1090,2019-09-03
1091,2019-09-04
1092,2019-09-05
1093,2019-09-06
1094,2019-09-09
1095,2019-09-10
1096,2019-09-11
1097,2019-09-12
1098,2019-09-13
1099,2019-09-16
1100,2019-09-17
1101,2019-09-18
1102,2019-09-19
1103,2019-09-20
1104,2019-09-23
1105,2019-09-24
1106,2019-09-25
1107,2019-09-26
1108,2019-09-27
1109,2019-09-30
1110,2019-10-01
1111,2019-10-02
1112,2019-10-03
1113,2019-10-04
1114,2019-10-07
1115,2019-10-08
1116,2019-10-09
1117,2019-10-10
1118,2019-10-11
1119,2019-10-14
1120,2019-10-15
1121,2019-10-16
1122,2019-10-17
1123,2019-10-18
1124,2019-10-21
1125,2019-10-22
1126,2019-10-23
1127,2019-10-24
1128,2019-10-25
1129,2019-10-29
1130,2019-10-30
1131,2019-10-31
1132,2019-11-01
1133,2019-11-04
1134,2019-11-05
1135,2019-11-06
1136,2019-11-07
1137,2019-11-08
1138,2019-11-11
1139,2019-11-12
1140,2019-11-13
1141,2019-11-14
1142,2019-11-15
1143,2019-11-18
1144,2019-11-19
1145,2019-11-20
1146,2019-11-21
1147,2019-11-22
1148,2019-11-25
1149,2019-11-26
1150,2019-11-27
1151,2019-11-28
1152,2019-11-29
1153,2019-12-02
1154,2019-12-03
1155,2019-12-04
1156,2019-12-05
1157,2019-12-06
1158,2019-12-09
1159,2019-12-10
1160,2019-12-11
1161,2019-12-12
1162,2019-12-13
1163,2019-12-16
1164,2019-12-17
1165,2019-12-18
1166,2019-12-19
1167,2019-12-20
1168,2019-12-23
1169,2019-12-27
1170,2019-12-30
1171,2020-01-02
1172,2020-01-03
1173,2020-01-06
1174,2020-01-07
1175,2020-01-08
1176,2020-01-09
1177,2020-01-10
1178,2020-01-13
1179,2020-01-14
1180,2020-01-15
1181,2020-01-16
1182,2020-01-17
1183,2020-01-20
1184,2020-01-21
1185,2020-01-22
1186,2020-01-23
1187,2020-01-24
1188,2020-01-28
1189,2020-01-29
1190,2020-01-30
1191,2020-01-31
1192,2020-02-03
1193,2020-02-04
1194,2020-02-05
1195,2020-02-06
1196,2020-02-07
1197,2020-02-10
1198,2020-02-11
1199,2020-02-12
1200,2020-02-13
1201,2020-02-14
1202,2020-02-17
1203,2020-02-18
1204,2020-02-19
1205,2020-02-20
1206,2020-02-21
1207,2020-02-24
1208,2020-02-25
1209,2020-02-26
1210,2020-02-27
1211,2020-02-28
1212,2020-03-02
1213,2020-03-03
1214,2020-03-04
1215,2020-03-05
1216,2020-03-06
1217,2020-03-09
1218,2020-03-10
1219,2020-03-11
1220,2020-03-12
1221,2020-03-13
1222,2020-03-16
1223,2020-03-17
1224,2020-03-18
1225,2020-03-19
1226,2020-03-20
1227,2020-03-23
1228,2020-03-24
1229,2020-03-26
1230,2020-03-27
1231,2020-03-30
1232,2020-03-31
1233,2020-04-01
1234,2020-04-02
1235,2020-04-03
1236,2020-04-06
1237,2020-04-07
1238,2020-04-08
1239,2020-04-09
1240,2020-04-14
1241,2020-04-15
1242,2020-04-16
1243,2020-04-17
1244,2020-04-20
1245,2020-04-21
1246,2020-04-22
1247,2020-04-23
1248,2020-04-24
1249,2020-04-27
1250,2020-04-28
1251,2020-04-29
1252,2020-04-30
1253,2020-05-04
1254,2020-05-05
1255,2020-05-06
1256,2020-05-11
1257,2020-05-12
1258,2020-05-13
1259,2020-05-14
1260,2020-05-15
1261,2020-05-18
1262,2020-05-19
1263,2020-05-20
1264,2020-05-26
1265,2020-05-27
1266,2020-05-28
1267,2020-05-29
1268,2020-06-02
1269,2020-06-03
1270,2020-06-04
1271,2020-06-05
1272,2020-06-08
1273,2020-06-09
1274,2020-06-10
1275,2020-06-11
1276,2020-06-12
1277,2020-06-15
1278,2020-06-16
1279,2020-06-17
1280,2020-06-18
1281,2020-06-19
1282,2020-06-22
1283,2020-06-23
1284,2020-06-24
1285,2020-06-25
1286,2020-06-26
1287,2020-06-29
1288,2020-06-30
1289,2020-07-01
1290,2020-07-02
1291,2020-07-03
1292,2020-07-06
1293,2020-07-07
1294,2020-07-08
1295,2020-07-09
1296,2020-07-13
1297,2020-07-14
1298,2020-07-15
1299,2020-07-16
1300,2020-07-17
1301,2020-07-20
1302,2020-07-21
1303,2020-07-22
1304,2020-07-23
1305,2020-07-24
1306,2020-07-27
1307,2020-07-28
1308,2020-07-29
1309,2020-07-30
1310,2020-08-03
1311,2020-08-04
1312,2020-08-05
